score
5264
7690
9284
9831
10466
11115
11498
12072
12412
13022
13730
13926
14269
15087
15550
16465
16696
16642
17316
17965
18034
18954
18772
18475
19200
19117
19625
19729
19836
20164
20451
20842
21317
21291
22048
21888
22083
22675
22750
23193
22887
23452
23878
23736
24448
24260
24554
24270
24920
25975
25573
25916
26027
25872
26350
27151
26480
26836
27149
27970
28686
28825
28909
28343
29225
29102
30355
30673
30595
31073
30796
31280
31745
32139
31956
32145
32528
33065
34051
33137
33877
33055
33829
33489
34192
33803
34313
34783
34729
35616
35517
35256
35676
36441
35639
36775
36790
36588
36324
37750
36921
37973
37773
37110
37305
37913
37533
37377
37242
37805
38217
38694
39707
38645
38731
39215
39579
40037
39479
41422
40433
40022
39669
40707
41623
40912
40987
41382
41537
42459
41549
41670
42174
43394
41911
42977
42325
41771
42575
43462
43225
44190
44183
43331
43850
45034
44080
44684
43501
44053
44463
44939
45231
44491
44712
44982
45627
44627
45491
45640
46219
46534
45457
46216
47124
45901
46123
46389
46840
46908
47953
48738
48136
47841
48534
47924
47526
47493
49029
48355
48556
49262
48295
49778
51098
48086
49593
50028
50060
48257
49333
50771
49855
49427
51021
50801
49829
51340
52314
51546
50962
51757
52573
52808
51554
52158
52171
52831
51336
52807
52113
52777
51910
53592
52316
53169
52855
53073
52813
54198
52328
52659
52836
53642
54533
54786
53684
54401
56157
54533
54228
55551
55037
55546
56141
54903
55587
56569
55715
56072
56634
55759
56402
55818
56639
56300
55987
56770
56617
56825
56565
57781
57585
57093
58641
56315
58079
59445
57006
57829
58234
58146
59378
60454
58940
59092
58252
59343
58371
58448
59697
58077
58594
61073
57898
59416
61178
59673
60132
59736
59861
60142
60166
60111
60052
61313
60708
61498
60433
59927
61241
60967
61730
60748
61730
61620
61260
61278
61622
62233
61326
62722
60972
63051
60530
61979
63294
63365
61969
62298
62500
62294
62975
62681
64273
65083
63834
63439
64551
64765
63241
64136
64608
63631
65104
64227
63614
63878
63724
64290
64920
64667
65781
67005
64456
64518
65565
65447
66665
64689
65960
65592
67098
65718
66432
65691
67469
67095
66906
65810
65978
67721
67146
67116
68478
67390
69181
66508
70264
66845
68835
67686
67548
69501
70187
67497
66762
70746
68126
66824
68893
69987
68233
67917
68130
68743
70253
70130
71657
69250
69512
71218
70502
70527
71542
69591
72103
68426
70592
68904
71167
71052
70404
72416
71099
71052
72061
70844
71022
71024
70078
70186
72014
74401
74711
72895
69987
72203
72221
71466
71540
72474
71100
74297
71713
72540
71467
74991
72651
74261
74113
74302
72781
74564
76183
75587
76092
73183
73648
74762
73276
74448
75347
76867
75895
76271
75099
76806
75570
74444
74881
74176
76141
76291
75747
73404
76067
74877
76726
77292
77100
77220
75636
77758
76299
77675
77193
76237
78911
78732
76183
76155
78962
78729
79233
77123
79228
77551
80268
75983
76712
79478
77878
80431
80165
78647
80374
81803
80988
78882
79998
79572
80937
80054
80197
81919
80680
79185
80651
82287
80826
82350
81374
80236
82651
82473
81276
79946
82728
83212
